0.0, 	  
 7.26520846139737e-05 6995.255160417423, 91187818.59208943, 5.4212487221804864e-08, 0.8954768397957232, 82528186.86440745, 4.226909434210658e-08,
                             0.9919153039771283, 120737639.52319372, 1.381592748291184e-06, 0.5199620190933109, 
-1.0, 	  
 0.0002450819178027701 6800.000000000128, 3800192.8448722996, 9.999994917468629e-08, 0.7800070537711945, 30307116.076538034, 1.3287545741907267e-07,
                             0.8732041250312521, 7207608253675.74, 9.906438396416633e-06, 0.5199999999999508, 
-1.0, 	  
 0.007646315807543511 6800.284043705107, 4072288.1188655677, 9.783495158531267e-08, 0.7801343862894148, 29728723.327600908, 1.3676704198055002e-07,
                             0.8818863095876415, 2731795783.1402874, 9.999970789568003e-06, 0.5157027374529917, 
-1.0, 	  
 0.015929824599048983 6800.284043705107, 4072288.1188655677, 9.783495158531267e-08, 0.7801343862894148, 29728723.327600908, 1.3676704198055002e-07,
                             0.8818863095876415, 2731795783.1402874, 9.999970789568003e-06, 0.5157027374529917, 
-0.75, 	  
 0.004363206199285567 6800.000000000001, 1.3897878379227162e-06, 1.4191801543585272e-09, 0.7810534993950117, 31221038.81931576, 2.384561455802144e-07,
                             0.7800000006939809, 28509527.67051968, 6.886854139780863e-07, 0.5199999999999999, 
-0.5, 	  
 0.010258666703078383 6820.812783688869, 81707764.73088883, 5.47673210707094e-08, 0.8547799752849996, 13852225.309960272, 1.6315234739429968e-07,
                             0.9218236602973291, 210482731.43558884, 5.532585834812441e-06, 0.5158475545898693, 
-0.25, 	  
 0.0072532381244582835 6800.000000000001, 90086392.8591496, 2.9129814692633383e-08, 0.9835394594233431, 2148682.522595917, 1.540568433462859e-07,
                             0.9999999999999999, 4765951.087302451, 6.40083190064947e-07, 0.5199999999999999, 
-1.0, 	  
 0.15929824599048983 6800.284043705107, 4072288.1188655677, 9.783495158531267e-08, 0.7801343862894148, 29728723.327600908, 1.3676704198055002e-07,
                             0.8818863095876415, 2731795783.1402874, 9.999970789568003e-06, 0.5157027374529917, 
-0.75, 	  
 0.043632061992855665 6800.000000000001, 1.3897878379227162e-06, 1.4191801543585272e-09, 0.7810534993950117, 31221038.81931576, 2.384561455802144e-07,
                             0.7800000006939809, 28509527.67051968, 6.886854139780863e-07, 0.5199999999999999, 
-0.5, 	  
 0.10258666703078384 6820.812783688869, 81707764.73088883, 5.47673210707094e-08, 0.8547799752849996, 13852225.309960272, 1.6315234739429968e-07,
                             0.9218236602973291, 210482731.43558884, 5.532585834812441e-06, 0.5158475545898693, 
-0.25, 	  
 0.07253238124458283 6800.000000000001, 90086392.8591496, 2.9129814692633383e-08, 0.9835394594233431, 2148682.522595917, 1.540568433462859e-07,
                             0.9999999999999999, 4765951.087302451, 6.40083190064947e-07, 0.5199999999999999, 
0.0, 	  
 0.0726520846139737 6995.255160417423, 91187818.59208943, 5.4212487221804864e-08, 0.8954768397957232, 82528186.86440745, 4.226909434210658e-08,
                             0.9919153039771283, 120737639.52319372, 1.381592748291184e-06, 0.5199620190933109, 
0.25, 	  
 0.0535667633977858 6800.016734184518, 302072107.5931717, 3.6743072335028745e-08, 0.9881323854274382, 163880009.76595005, 6.126192051425403e-08,
                             0.8550872294513162, 171357111.11225253, 7.228497495700856e-07, 0.5199998352249721, 
-1.0, 	  
 0.1592982459904898 6800.284043705107, 4072288.1188655677, 9.783495158531267e-08, 0.7801343862894148, 29728723.327600908, 1.3676704198055002e-07,
                             0.8818863095876415, 2731795783.1402874, 9.999970789568003e-06, 0.5157027374529917, 
-1.0, 	  
 0.0001592982459904898 6800.284043705107, 4072288.1188655677, 9.783495158531267e-08, 0.7801343862894148, 29728723.327600908, 1.3676704198055002e-07,
                             0.8818863095876415, 2731795783.1402874, 9.999970789568003e-06, 0.5157027374529917, 
-0.75, 	  
 4.3632061992855665e-05 6800.000000000001, 1.3897878379227162e-06, 1.4191801543585272e-09, 0.7810534993950117, 31221038.81931576, 2.384561455802144e-07,
                             0.7800000006939809, 28509527.67051968, 6.886854139780863e-07, 0.5199999999999999, 
-0.5, 	  
 0.00010258666703078385 6820.812783688869, 81707764.73088883, 5.47673210707094e-08, 0.8547799752849996, 13852225.309960272, 1.6315234739429968e-07,
                             0.9218236602973291, 210482731.43558884, 5.532585834812441e-06, 0.5158475545898693, 
-1.0, 	  
 0.007207404956558953 6800.000027492473, 3969412.041520021, 9.989530507089634e-08, 0.7800000002781474, 30327699.26754824, 1.3544041007691084e-07,
                             0.8753559612924462, 668141.1511609156, 7.991180460942703e-06, 0.5199999999944509, 
-1.0, 	  
 0.00015167168607906317 6800.000000000001, 3866109.787530481, 9.999999999887367e-08, 0.7800000000000001, 31111036.258732446, 1.3193821937956603e-07,
                             0.8683011151722484 
-0.75, 	  
 0.00028075914672477523 6999.999999999999, 267327.9979021356, 9.999999999999998e-08, 0.9716567945041504, 31562926.03822333, 1.7912950228938273e-07,
                             0.7800000000000001 
-0.25, 	  
 6.84741143514613e-05 6999.909660308401, 86826710.55843326, 3.1074860048313794e-08, 0.9999999973057522, 6991356.876306648, 9.867208477580559e-08,
                             0.826208343593715 
0.0, 	  
 4.116446832731753e-05 6915.387242559392, 126928870.91693163, 3.331542834635586e-08, 0.9999999996633673, 62529173.088146545, 7.745382377813945e-08,
                             0.784357520263182 
0.25, 	  
 4.019068908239425e-05 6849.197554599392, 287269122.51787156, 2.8807578109359957e-08, 0.947981835729242, 388052227.87709093, 1.0009889546529496e-07,
                             0.8527170256737523 
0.5, 	  
 4.334965333760617e-05 6986.563203822053, 118537166.29892118, 4.082401568168196e-08, 0.8989047905611551, 251498948.79354644, 4.190646881932865e-08,
                             0.988206130949883 
0.75, 	  
 0.0007259444698317943 6999.996876552337, 12494664.927989218, 2.2902855817470548e-08, 0.9209514635970101, 12760331.88187711, 7.49838044004306e-08,
                             0.9534414174368998 
1.5, 	  
 0.0011376088036035735 6932.350633178161, 21787687.115773104, 4.896137246970365e-08, 0.7810921612792533, 1743104.439024254, 9.648188821504192e-06,
                             0.8391535328567439 
2.0, 	  
 0.0016042398849653175 6938.984841751481, 40335401.35069026, 2.8698006345255616e-07, 0.7832403429060693, 3145019.020497399, 3.7027481008891896e-08,
                             0.7958335263315469 
2.5, 	  
 0.006358426606051409 6800.001093884844, 416782.81959278, 9.999999999999997e-07, 0.9354068627188601, 791668.3772477341, 2.1214830523904457e-08,
                             0.8585524615250707 
3.0, 	  
 0.0004359906763690183 6998.708901666315, 95436.16999342541, 1.760541347584944e-08, 0.8977969873666165, 37050.842206589485, 9.999999999999999e-06,
                             0.7800000045599781 
4.0, 	  
 0.0005089742235868411 6821.565176377189, 38421.13922230657, 8.650901432025819e-08, 0.8855285845508739, 39468.68404679485, 1.520451464652745e-08,
                             0.7854271264968156 
1.5, 	  
 0.07347378565842136 6999.999975109846, 18819276.598356582, 5.486207984232392e-08, 0.9997638152470295, 6844855.499139826, 6.075257061216188e-08,
                             0.8123497291054503 
1.5, 	  
 0.07683969050872205 6995.827495154986, 18941085.752056215, 5.5187169018690186e-08, 0.9998487654648149, 6977595.967378855, 5.959349336684652e-08,
                             0.8223559935170164 
2.0, 	  
 0.0484288251458941 6801.0, 55771742.28665639, 2.6330118698336576e-07, 0.7851073339756944, 3560698.666415089, 4.4459655780097606e-08,
                             0.7911612941336683 
2.0, 	  
 0.5154525293620695 6840.918118841002, 6798600.294738659, 5.44228863664618e-08, 0.785951710252159, 1081163.9192616127, 3.513254353092741e-08,
                             0.9977321216884862 
2.5, 	  
 0.3216360545214364 6852.010073273637, 1200833.944156359, 1.2519552088164519e-07, 0.9776035388375294, 2064280.7347085585, 2.4176918874584238e-08,
                             0.847918870623182 
2.5, 	  
 0.323424153847564 6999.640372924434, 1239205.9943651762, 1.4498616300997896e-07, 0.7800000026705448, 1308210.7622639367, 1.9936186855683404e-08,
                             0.9173326636993651 
3.0, 	  
 0.028442417487836488 6899.307385570355, 133564.68970978036, 9.108307766286299e-07, 0.7800000009556947, 341688.7746443419, 2.2373174891219533e-08,
                             0.8720299111480765 
3.0, 	  
 0.028442417487836488 6899.307385570355, 133564.68970978036, 9.108307766286299e-07, 0.7800000009556947, 341688.7746443419, 2.2373174891219533e-08,
                             0.8720299111480765 
4.0, 	  
 0.016766377604747945 6804.982122902026, 77905.40082447485, 2.497496766197225e-08, 0.8745722642069269, 55088.76599949412, 1.8244931033861747e-08,
                             0.7837099494970217 
4.0, 	  
 0.016766377604747945 6804.982122902026, 77905.40082447485, 2.497496766197225e-08, 0.8745722642069269, 55088.76599949412, 1.8244931033861747e-08,
                             0.7837099494970217 
-1.0, 	  
 0.005225417096448305 6800.150822040125, 39190851.74033764, 1.1501130164539171e-07, 0.781344409262658, 2409624.9017776465, 1.4074347106009044e-07,
                             0.7928986439035632 
-1.0, 	  
 0.008600614694983227 6924.205119755713, 37564717.124428295, 1.0879798396019751e-07, 0.7820922718463528, 1871008.334902747, 1.3255537158163082e-07,
                             0.8347786497808783 
-0.75, 	  
 0.004868945276532326 6999.999999999993, 34283977.0700953, 1.846000328949901e-07, 0.7800000461289756, 412535.2361780152, 3.160586893121129e-07,
                             0.7800000000000039 
-0.75, 	  
 0.00621186055566033 6999.999999999999, 34973686.17093741, 1.8681468685435102e-07, 0.7810646650626797, 476078.478452419, 3.380521861605785e-07,
                             0.7800000000000001 
-1.0, 	  
 0.005225417096448305 6800.150822040125, 39190851.74033764, 1.1501130164539171e-07, 0.781344409262658, 2409624.9017776465, 1.4074347106009044e-07,
                             0.7928986439035632 
-1.0, 	  
 0.008600614694983227 6924.205119755713, 37564717.124428295, 1.0879798396019751e-07, 0.7820922718463528, 1871008.334902747, 1.3255537158163082e-07,
                             0.8347786497808783 
-0.75, 	  
 0.004868945276532326 6999.999999999993, 34283977.0700953, 1.846000328949901e-07, 0.7800000461289756, 412535.2361780152, 3.160586893121129e-07,
                             0.7800000000000039 
-0.75, 	  
 0.00621186055566033 6999.999999999999, 34973686.17093741, 1.8681468685435102e-07, 0.7810646650626797, 476078.478452419, 3.380521861605785e-07,
                             0.7800000000000001 
-1.0, 	  
 0.005225417096448305 6800.150822040125, 39190851.74033764, 1.1501130164539171e-07, 0.781344409262658, 2409624.9017776465, 1.4074347106009044e-07,
                             0.7928986439035632 
-1.0, 	  
 0.008600614694983227 6924.205119755713, 37564717.124428295, 1.0879798396019751e-07, 0.7820922718463528, 1871008.334902747, 1.3255537158163082e-07,
                             0.8347786497808783 
